chr		start	end	strand	pvalue	qvalue	meth.diff
NW_016094250.1	NW_016094250.1.2531441.2531441	2531441	2531441	+	1.99E-22	9.38E-21	-32.07587767
NW_016094250.1	NW_016094250.1.2731618.2731618	2731618	2731618	+	4.38E-18	1.25E-16	-29.12293853
NW_016094250.1	NW_016094250.1.2731656.2731656	2731656	2731656	+	8.16E-12	1.09E-10	-27.82703633
NW_016094250.1	NW_016094250.1.3978875.3978875	3978875	3978875	+	1.36E-09	1.34E-08	-21.04787715
NW_016094250.1	NW_016094250.1.4739234.4739234	4739234	4739234	+	3.46E-54	3.34E-51	-41.13089932
NW_016094250.1	NW_016094250.1.4739252.4739252	4739252	4739252	+	4.85E-36	9.58E-34	-36.61124024
NW_016094250.1	NW_016094250.1.5603926.5603926	5603926	5603926	+	2.67E-14	4.95E-13	-37.07897793
NW_016094250.1	NW_016094250.1.6396101.6396101	6396101	6396101	+	7.31E-22	3.16E-20	-32.56907701
NW_016094250.1	NW_016094250.1.6396153.6396153	6396153	6396153	+	1.03E-08	8.84E-08	-24.3770477
NW_016094250.1	NW_016094250.1.6396173.6396173	6396173	6396173	+	1.28E-13	2.19E-12	-25.72809151
NW_016094250.1	NW_016094250.1.6576648.6576648	6576648	6576648	+	5.29E-29	5.08E-27	-32.36630807
NW_016094250.1	NW_016094250.1.6576692.6576692	6576692	6576692	+	6.89E-11	8.11E-10	-22.69066301
NW_016094250.1	NW_016094250.1.6576700.6576700	6576700	6576700	+	4.73E-15	9.47E-14	-23.31742535
NW_016094251.1	NW_016094251.1.325516.325516	325516	325516	-	7.41E-11	8.68E-10	-28.15998505
NW_016094251.1	NW_016094251.1.618347.618347	618347	618347	-	4.60E-14	8.33E-13	-20.17094181
NW_016094251.1	NW_016094251.1.1465259.1465259	1465259	1465259	-	9.33E-29	8.75E-27	-20.29957204
NW_016094251.1	NW_016094251.1.4250268.4250268	4250268	4250268	+	3.24E-13	5.23E-12	22.40106418
NW_016094251.1	NW_016094251.1.4250296.4250296	4250296	4250296	+	4.31E-13	6.89E-12	26.15067466
NW_016094251.1	NW_016094251.1.5505239.5505239	5505239	5505239	-	6.46E-41	1.97E-38	-46.34146341
NW_016094252.1	NW_016094252.1.274321.274321	274321	274321	-	3.34E-10	3.58E-09	-31.49495363
NW_016094252.1	NW_016094252.1.490748.490748	490748	490748	+	2.53E-09	2.39E-08	25.85059491
NW_016094252.1	NW_016094252.1.490810.490810	490810	490810	+	5.76E-21	2.28E-19	46.95624604
NW_016094252.1	NW_016094252.1.2039874.2039874	2039874	2039874	+	4.45E-24	2.55E-22	-31.96397242
NW_016094252.1	NW_016094252.1.2039891.2039891	2039891	2039891	+	2.06E-21	8.53E-20	-31.98405902
NW_016094252.1	NW_016094252.1.2039904.2039904	2039904	2039904	+	2.04E-29	2.12E-27	-34.78416131
NW_016094252.1	NW_016094252.1.2688622.2688622	2688622	2688622	-	3.35E-16	7.73E-15	-29.47106048
NW_016094252.1	NW_016094252.1.2688690.2688690	2688690	2688690	-	1.17E-14	2.26E-13	-26.12690642
NW_016094252.1	NW_016094252.1.2889208.2889208	2889208	2889208	+	2.11E-09	2.02E-08	-21.82475086
NW_016094252.1	NW_016094252.1.3394675.3394675	3394675	3394675	-	4.03E-13	6.47E-12	-26.59702692
NW_016094252.1	NW_016094252.1.3671619.3671619	3671619	3671619	+	2.26E-07	1.55E-06	-23.47109819
NW_016094252.1	NW_016094252.1.3671635.3671635	3671635	3671635	+	1.58E-16	3.78E-15	-35.48197722
NW_016094252.1	NW_016094252.1.4928516.4928516	4928516	4928516	+	5.60E-07	0.000003575	-22.18623732
NW_016094252.1	NW_016094252.1.5020178.5020178	5020178	5020178	+	5.66E-29	5.41E-27	-39.84273362
NW_016094252.1	NW_016094252.1.5061960.5061960	5061960	5061960	-	1.70E-22	8.13E-21	-22.76614462
NW_016094252.1	NW_016094252.1.5061974.5061974	5061974	5061974	-	2.18E-22	1.02E-20	-27.63761346
NW_016094252.1	NW_016094252.1.5061990.5061990	5061990	5061990	-	7.71E-32	9.93E-30	-33.1925518
NW_016094252.1	NW_016094252.1.5062017.5062017	5062017	5062017	-	4.29E-32	5.72E-30	-29.58934517
NW_016094252.1	NW_016094252.1.5062183.5062183	5062183	5062183	-	1.24E-17	3.37E-16	-21.69236739
NW_016094252.1	NW_016094252.1.5348751.5348751	5348751	5348751	+	3.41E-22	1.56E-20	-20.52374297
NW_016094252.1	NW_016094252.1.5348777.5348777	5348777	5348777	+	7.81E-15	1.52E-13	-24.74296309
NW_016094252.1	NW_016094252.1.5430001.5430001	5430001	5430001	-	0.000000008	6.98E-08	-26.02828238
NW_016094252.1	NW_016094252.1.5430018.5430018	5430018	5430018	+	3.75E-24	2.17E-22	-38.33905794
NW_016094252.1	NW_016094252.1.5430019.5430019	5430019	5430019	-	3.35E-09	3.12E-08	-25.9384924
NW_016094252.1	NW_016094252.1.5430025.5430025	5430025	5430025	+	9.40E-11	1.09E-09	-25.56792586
NW_016094252.1	NW_016094252.1.5430045.5430045	5430045	5430045	+	1.11E-07	8.01E-07	-20.27288261
NW_016094252.1	NW_016094252.1.5430054.5430054	5430054	5430054	+	4.88E-16	1.10E-14	-28.94781145
NW_016094252.1	NW_016094252.1.5430063.5430063	5430063	5430063	+	1.14E-10	1.31E-09	-25.83225426
NW_016094252.1	NW_016094252.1.5430065.5430065	5430065	5430065	+	3.59E-09	3.32E-08	-23.3186652
NW_016094252.1	NW_016094252.1.5982321.5982321	5982321	5982321	+	5.36E-09	4.81E-08	-21.1093767
NW_016094253.1	NW_016094253.1.953011.953011	953011	953011	+	2.29E-18	6.73E-17	-21.25922848
NW_016094253.1	NW_016094253.1.1238671.1238671	1238671	1238671	+	6.78E-30	7.39E-28	-40.85685842
NW_016094253.1	NW_016094253.1.1238702.1238702	1238702	1238702	+	4.01E-08	3.11E-07	-21.59882325
NW_016094253.1	NW_016094253.1.2871738.2871738	2871738	2871738	+	2.99E-08	2.38E-07	27.874677
NW_016094253.1	NW_016094253.1.3898927.3898927	3898927	3898927	-	2.60E-10	2.83E-09	24.97498706
NW_016094253.1	NW_016094253.1.5210566.5210566	5210566	5210566	+	1.81E-24	1.09E-22	-31.7533058
NW_016094253.1	NW_016094253.1.5553560.5553560	5553560	5553560	+	0.000000647	4.08E-06	-22.49018068
NW_016094253.1	NW_016094253.1.5706419.5706419	5706419	5706419	-	3.25E-14	6.01E-13	20.09671084
NW_016094254.1	NW_016094254.1.283219.283219	283219	283219	-	3.54E-20	1.29E-18	-29.03261516
NW_016094254.1	NW_016094254.1.610674.610674	610674	610674	+	7.70E-42	2.47E-39	-32.69461248
NW_016094254.1	NW_016094254.1.610689.610689	610689	610689	+	1.13E-23	6.07E-22	-27.89743988
NW_016094254.1	NW_016094254.1.1313471.1313471	1313471	1313471	-	1.57E-31	1.95E-29	-41.4752766
NW_016094254.1	NW_016094254.1.1510634.1510634	1510634	1510634	+	1.81E-10	0.000000002	-26.48447205
NW_016094254.1	NW_016094254.1.1510652.1510652	1510652	1510652	+	7.01E-23	3.44E-21	-38.10465224
NW_016094254.1	NW_016094254.1.4919550.4919550	4919550	4919550	-	1.06E-12	1.62E-11	-20.49426187
NW_016094255.1	NW_016094255.1.676297.676297	676297	676297	+	3.32E-07	2.22E-06	-20.55585723
NW_016094255.1	NW_016094255.1.1161860.1161860	1161860	1161860	-	2.08E-15	4.35E-14	-28.70813397
NW_016094255.1	NW_016094255.1.1161933.1161933	1161933	1161933	-	3.07E-29	3.06E-27	-43.21859676
NW_016094255.1	NW_016094255.1.1638722.1638722	1638722	1638722	-	1.55E-14	2.93E-13	28.92807844
NW_016094255.1	NW_016094255.1.2064673.2064673	2064673	2064673	+	6.33E-16	1.41E-14	-23.24927409
NW_016094255.1	NW_016094255.1.2543640.2543640	2543640	2543640	-	7.40E-18	2.05E-16	27.37803001
NW_016094255.1	NW_016094255.1.2543675.2543675	2543675	2543675	-	1.01E-19	3.50E-18	24.76963199
NW_016094255.1	NW_016094255.1.3043743.3043743	3043743	3043743	-	5.24E-12	7.21E-11	-27.31556274
NW_016094255.1	NW_016094255.1.3043764.3043764	3043764	3043764	-	6.65E-21	2.62E-19	-34.081653
NW_016094255.1	NW_016094255.1.3126731.3126731	3126731	3126731	-	6.04E-05	0.000253348	20.12514221
NW_016094255.1	NW_016094255.1.3429346.3429346	3429346	3429346	+	1.68E-13	2.83E-12	-21.19354338
NW_016094255.1	NW_016094255.1.4607752.4607752	4607752	4607752	-	1.61E-25	1.07E-23	-36.21948297
NW_016094255.1	NW_016094255.1.4607763.4607763	4607763	4607763	-	1.00E-18	3.09E-17	-27.4758354
NW_016094255.1	NW_016094255.1.4607776.4607776	4607776	4607776	-	2.46E-18	7.19E-17	-28.18388564
NW_016094255.1	NW_016094255.1.4731978.4731978	4731978	4731978	-	4.28E-11	5.16E-10	-21.94884206
NW_016094256.1	NW_016094256.1.405371.405371	405371	405371	-	5.85E-18	1.64E-16	-28.81773399
NW_016094256.1	NW_016094256.1.405405.405405	405405	405405	-	1.76E-13	2.96E-12	-24.04661519
NW_016094256.1	NW_016094256.1.809295.809295	809295	809295	-	1.51E-42	5.27E-40	-31.76563923
NW_016094256.1	NW_016094256.1.809299.809299	809299	809299	-	3.72E-46	1.79E-43	-33.5695057
NW_016094256.1	NW_016094256.1.809308.809308	809308	809308	-	1.09E-27	8.97E-26	-21.89522574
NW_016094256.1	NW_016094256.1.809324.809324	809324	809324	-	6.07E-50	4.44E-47	-34.67129185
NW_016094256.1	NW_016094256.1.1740676.1740676	1740676	1740676	+	1.97E-08	1.61E-07	-20.5729443
NW_016094256.1	NW_016094256.1.1740737.1740737	1740737	1740737	+	6.03E-10	6.25E-09	-25.1552039
NW_016094256.1	NW_016094256.1.1860623.1860623	1860623	1860623	+	1.34E-19	4.53E-18	-26.91062176
NW_016094256.1	NW_016094256.1.1860644.1860644	1860644	1860644	+	1.92E-21	7.98E-20	-32.66624339
NW_016094256.1	NW_016094256.1.1860660.1860660	1860660	1860660	+	1.11E-17	3.05E-16	-27.62617942
NW_016094256.1	NW_016094256.1.1860675.1860675	1860675	1860675	+	2.40E-13	3.95E-12	-23.43321918
NW_016094256.1	NW_016094256.1.2128056.2128056	2128056	2128056	+	3.15E-16	7.30E-15	-30.75445173
NW_016094256.1	NW_016094256.1.2128071.2128071	2128071	2128071	+	4.39E-11	5.28E-10	-29.68263473
NW_016094256.1	NW_016094256.1.2128086.2128086	2128086	2128086	+	6.55E-08	4.91E-07	-22.64613146
NW_016094256.1	NW_016094256.1.2128089.2128089	2128089	2128089	+	7.87E-17	1.93E-15	-36.01135706
NW_016094256.1	NW_016094256.1.2247196.2247196	2247196	2247196	+	8.27E-13	1.28E-11	-26.17007251
NW_016094257.1	NW_016094257.1.759195.759195	759195	759195	-	1.16E-12	1.75E-11	-21.16235439
NW_016094257.1	NW_016094257.1.859487.859487	859487	859487	-	1.99E-57	2.28E-54	-50.20814097
NW_016094257.1	NW_016094257.1.1256172.1256172	1256172	1256172	+	4.51E-08	3.46E-07	-21.37506688
NW_016094257.1	NW_016094257.1.1392380.1392380	1392380	1392380	-	5.65E-07	3.60E-06	-22.13634727
NW_016094257.1	NW_016094257.1.1555049.1555049	1555049	1555049	-	3.24E-15	6.59E-14	-26.83904875
NW_016094257.1	NW_016094257.1.1824179.1824179	1824179	1824179	+	4.14E-26	2.93E-24	-25.498488
NW_016094257.1	NW_016094257.1.1824210.1824210	1824210	1824210	+	4.27E-20	1.54E-18	-22.10255887
NW_016094257.1	NW_016094257.1.1832515.1832515	1832515	1832515	-	2.55E-08	2.05E-07	-21.06852497
NW_016094257.1	NW_016094257.1.1832524.1832524	1832524	1832524	-	8.30E-09	7.21E-08	-21.06812874
NW_016094257.1	NW_016094257.1.1832528.1832528	1832528	1832528	-	0.000000001	9.82E-09	-23.77351855
NW_016094257.1	NW_016094257.1.1832543.1832543	1832543	1832543	-	2.33E-11	2.94E-10	-26.08741443
NW_016094257.1	NW_016094257.1.1832574.1832574	1832574	1832574	-	1.11E-16	2.69E-15	-31.57773848
NW_016094257.1	NW_016094257.1.1985922.1985922	1985922	1985922	+	3.65E-24	2.13E-22	-23.10365691
NW_016094257.1	NW_016094257.1.1985945.1985945	1985945	1985945	+	5.02E-33	7.16E-31	-24.84546493
NW_016094257.1	NW_016094257.1.2030507.2030507	2030507	2030507	+	4.13E-11	5.00E-10	-21.84711968
NW_016094257.1	NW_016094257.1.2252721.2252721	2252721	2252721	-	1.11E-06	6.73E-06	21.02643647
NW_016094257.1	NW_016094257.1.3278248.3278248	3278248	3278248	-	2.04E-23	1.07E-21	39.02347652
NW_016094257.1	NW_016094257.1.3278262.3278262	3278262	3278262	-	1.26E-09	1.25E-08	25.67049808
NW_016094257.1	NW_016094257.1.3278298.3278298	3278298	3278298	-	6.20E-14	1.10E-12	27.84636022
NW_016094257.1	NW_016094257.1.4141835.4141835	4141835	4141835	-	3.22E-31	3.90E-29	-46.7778804
NW_016094257.1	NW_016094257.1.4141858.4141858	4141858	4141858	-	1.46E-23	7.76E-22	-40.70302473
NW_016094257.1	NW_016094257.1.4150005.4150005	4150005	4150005	-	3.61E-11	4.42E-10	-35.66427691
NW_016094257.1	NW_016094257.1.4172249.4172249	4172249	4172249	-	1.59E-27	1.28E-25	-28.93165709
NW_016094257.1	NW_016094257.1.4842592.4842592	4842592	4842592	-	6.44E-07	4.06E-06	-20.16666667
NW_016094258.1	NW_016094258.1.297044.297044	297044	297044	-	2.50E-07	1.70E-06	-24.74445516
NW_016094258.1	NW_016094258.1.538188.538188	538188	538188	-	6.69E-17	1.65E-15	-37.06060606
NW_016094258.1	NW_016094258.1.551035.551035	551035	551035	-	5.51E-06	2.91E-05	-20.74898785
NW_016094258.1	NW_016094258.1.2299811.2299811	2299811	2299811	+	2.80E-34	4.56E-32	-21.96738516
NW_016094258.1	NW_016094258.1.2299851.2299851	2299851	2299851	+	1.08E-19	3.71E-18	-20.90357676
NW_016094258.1	NW_016094258.1.2395662.2395662	2395662	2395662	+	3.26E-17	8.33E-16	-24.18860992
NW_016094258.1	NW_016094258.1.2395690.2395690	2395690	2395690	+	2.09E-24	1.25E-22	-31.80785845
NW_016094258.1	NW_016094258.1.2395730.2395730	2395730	2395730	+	5.19E-14	9.35E-13	-23.88207226
NW_016094258.1	NW_016094258.1.3837298.3837298	3837298	3837298	-	2.10E-07	0.000001454	-20.55777174
NW_016094259.1	NW_016094259.1.1935439.1935439	1935439	1935439	+	9.91E-16	2.16E-14	-28.76814938
NW_016094259.1	NW_016094259.1.1935457.1935457	1935457	1935457	+	2.46E-19	8.10E-18	-34.079928
NW_016094259.1	NW_016094259.1.2924123.2924123	2924123	2924123	-	4.24E-17	1.07E-15	-26.17660242
NW_016094259.1	NW_016094259.1.4233008.4233008	4233008	4233008	+	9.03E-23	4.41E-21	-27.03094778
NW_016094259.1	NW_016094259.1.4233082.4233082	4233082	4233082	+	3.11E-17	7.99E-16	-23.23316519
NW_016094260.1	NW_016094260.1.224644.224644	224644	224644	+	1.31E-24	7.95E-23	-41.14496282
NW_016094260.1	NW_016094260.1.224665.224665	224665	224665	+	2.02E-13	3.35E-12	-30.42385931
NW_016094260.1	NW_016094260.1.224672.224672	224672	224672	+	1.20E-20	4.60E-19	-39.30965282
NW_016094260.1	NW_016094260.1.224694.224694	224694	224694	+	1.55E-19	5.21E-18	-37.78299685
NW_016094260.1	NW_016094260.1.224709.224709	224709	224709	+	7.00E-12	9.49E-11	-25.90497738
NW_016094260.1	NW_016094260.1.224717.224717	224717	224717	+	7.87E-19	2.47E-17	-36.20847467
NW_016094260.1	NW_016094260.1.537472.537472	537472	537472	-	5.93E-13	9.30E-12	-24.80875444
NW_016094260.1	NW_016094260.1.795930.795930	795930	795930	-	8.09E-09	7.03E-08	-25.93435401
NW_016094260.1	NW_016094260.1.1476190.1476190	1476190	1476190	+	1.02E-40	2.89E-38	-34.20383915
NW_016094260.1	NW_016094260.1.1476206.1476206	1476206	1476206	+	2.57E-22	1.20E-20	-29.5029812
NW_016094260.1	NW_016094260.1.1476231.1476231	1476231	1476231	+	1.39E-27	1.12E-25	-30.24175824
NW_016094260.1	NW_016094260.1.1476233.1476233	1476233	1476233	+	2.26E-21	9.29E-20	-25.89795542
NW_016094260.1	NW_016094260.1.1476258.1476258	1476258	1476258	+	3.45E-28	3.07E-26	-30.53767889
NW_016094260.1	NW_016094260.1.1476263.1476263	1476263	1476263	+	8.18E-27	6.14E-25	-35.15370414
NW_016094261.1	NW_016094261.1.289327.289327	289327	289327	+	4.13E-10	4.38E-09	-20.16233766
NW_016094261.1	NW_016094261.1.478185.478185	478185	478185	+	9.61E-20	3.34E-18	29.26951473
NW_016094261.1	NW_016094261.1.478205.478205	478205	478205	+	1.74E-12	2.57E-11	29.04793832
NW_016094261.1	NW_016094261.1.752925.752925	752925	752925	-	2.98E-15	6.09E-14	-29.04159963
NW_016094261.1	NW_016094261.1.752976.752976	752976	752976	-	1.74E-14	3.27E-13	-29.97186905
NW_016094261.1	NW_016094261.1.752980.752980	752980	752980	-	4.36E-23	2.22E-21	-33.88890163
NW_016094261.1	NW_016094261.1.2724012.2724012	2724012	2724012	-	1.37E-25	9.19E-24	-33.97010686
NW_016094261.1	NW_016094261.1.2724045.2724045	2724045	2724045	-	3.25E-25	2.08E-23	-33.4856355
NW_016094261.1	NW_016094261.1.2928866.2928866	2928866	2928866	-	4.45E-06	2.39E-05	-21.01503759
NW_016094262.1	NW_016094262.1.388054.388054	388054	388054	-	1.14E-29	1.22E-27	-20.08658009
NW_016094262.1	NW_016094262.1.623594.623594	623594	623594	-	3.34E-19	1.09E-17	-24.65008868
NW_016094262.1	NW_016094262.1.623636.623636	623636	623636	-	1.96E-31	2.40E-29	-25.85622612
NW_016094262.1	NW_016094262.1.623665.623665	623665	623665	-	2.09E-23	1.10E-21	-21.71300288
NW_016094262.1	NW_016094262.1.1973795.1973795	1973795	1973795	+	6.10E-23	3.01E-21	-32.87544693
NW_016094262.1	NW_016094262.1.2502689.2502689	2502689	2502689	+	2.81E-13	4.59E-12	-26.07291839
NW_016094262.1	NW_016094262.1.2813952.2813952	2813952	2813952	+	1.89E-07	1.31E-06	-21.17356558
NW_016094262.1	NW_016094262.1.2813974.2813974	2813974	2813974	+	2.44E-15	5.04E-14	-32.9599128
NW_016094262.1	NW_016094262.1.2859004.2859004	2859004	2859004	+	1.39E-09	1.37E-08	-20.24499919
NW_016094262.1	NW_016094262.1.3343462.3343462	3343462	3343462	+	1.98E-20	7.47E-19	-31.26949358
NW_016094262.1	NW_016094262.1.3343483.3343483	3343483	3343483	+	8.90E-10	0.000000009	-22.13654401
NW_016094263.1	NW_016094263.1.21586.21586	21586	21586	-	3.55E-18	1.03E-16	23.10512213
NW_016094263.1	NW_016094263.1.3074156.3074156	3074156	3074156	+	2.83E-11	3.52E-10	22.44897959
NW_016094263.1	NW_016094263.1.4061361.4061361	4061361	4061361	-	3.53E-11	4.33E-10	-21.86229487
NW_016094263.1	NW_016094263.1.4421327.4421327	4421327	4421327	-	4.71E-25	2.96E-23	-30.84415584
NW_016094264.1	NW_016094264.1.2133000.2133000	2133000	2133000	+	8.36E-39	2.14E-36	-27.24996433
NW_016094264.1	NW_016094264.1.2498767.2498767	2498767	2498767	+	2.13E-12	3.11E-11	-23.6029736
NW_016094264.1	NW_016094264.1.3512280.3512280	3512280	3512280	-	5.68E-08	4.30E-07	-20.62241059
NW_016094264.1	NW_016094264.1.4405033.4405033	4405033	4405033	-	1.04E-27	8.66E-26	-21.45068852
NW_016094265.1	NW_016094265.1.299073.299073	299073	299073	+	5.13E-49	3.64E-46	-54.42936521
NW_016094265.1	NW_016094265.1.299128.299128	299128	299128	+	1.42E-10	1.60E-09	-32.11602133
NW_016094265.1	NW_016094265.1.299130.299130	299130	299130	+	4.46E-20	1.61E-18	-42.42144952
NW_016094265.1	NW_016094265.1.673074.673074	673074	673074	-	8.75E-14	1.53E-12	-25.27653839
NW_016094265.1	NW_016094265.1.1109775.1109775	1109775	1109775	+	1.14E-15	2.46E-14	-39.74172792
NW_016094265.1	NW_016094265.1.1109784.1109784	1109784	1109784	+	2.18E-10	2.41E-09	-20.99189079
NW_016094265.1	NW_016094265.1.2210431.2210431	2210431	2210431	-	2.34E-10	2.57E-09	-20.46038468
NW_016094265.1	NW_016094265.1.2901868.2901868	2901868	2901868	+	1.22E-08	1.03E-07	-23.67307353
NW_016094266.1	NW_016094266.1.525266.525266	525266	525266	+	4.36E-25	2.76E-23	-36.73360061
NW_016094266.1	NW_016094266.1.525285.525285	525285	525285	+	5.74E-16	1.28E-14	-27.70656838
NW_016094266.1	NW_016094266.1.525290.525290	525290	525290	+	1.16E-18	3.54E-17	-31.02446501
NW_016094266.1	NW_016094266.1.525314.525314	525314	525314	+	4.60E-15	9.24E-14	-24.73649741
NW_016094266.1	NW_016094266.1.3122787.3122787	3122787	3122787	+	7.09E-16	1.57E-14	-30.29888551
NW_016094267.1	NW_016094267.1.12890.12890	12890	12890	+	1.52E-23	8.05E-22	-20.94622235
NW_016094267.1	NW_016094267.1.1951247.1951247	1951247	1951247	+	1.92E-16	4.53E-15	-34.01576577
NW_016094267.1	NW_016094267.1.1951301.1951301	1951301	1951301	+	3.07E-06	1.71E-05	-23.50618919
NW_016094267.1	NW_016094267.1.2213342.2213342	2213342	2213342	+	5.35E-09	0.000000048	25.61185058
NW_016094267.1	NW_016094267.1.2213359.2213359	2213359	2213359	+	8.30E-10	8.42E-09	26.4041738
NW_016094267.1	NW_016094267.1.2213382.2213382	2213382	2213382	+	3.05E-08	2.42E-07	24.47476863
NW_016094267.1	NW_016094267.1.2235808.2235808	2235808	2235808	-	1.17E-20	4.49E-19	-29.49217693
NW_016094267.1	NW_016094267.1.2432929.2432929	2432929	2432929	-	1.60E-13	2.70E-12	-23.38372093
NW_016094267.1	NW_016094267.1.2432953.2432953	2432953	2432953	-	6.85E-28	5.88E-26	-29.11849607
NW_016094267.1	NW_016094267.1.3591244.3591244	3591244	3591244	-	1.15E-11	1.51E-10	-27.82205428
NW_016094267.1	NW_016094267.1.3808533.3808533	3808533	3808533	-	8.58E-15	1.66E-13	-23.91488014
NW_016094268.1	NW_016094268.1.640201.640201	640201	640201	-	3.20E-12	4.56E-11	-27.91560399
NW_016094268.1	NW_016094268.1.940609.940609	940609	940609	+	8.61E-08	6.31E-07	-21.39099243
NW_016094268.1	NW_016094268.1.1106338.1106338	1106338	1106338	-	1.71E-08	1.41E-07	-20.65729455
NW_016094268.1	NW_016094268.1.1106367.1106367	1106367	1106367	+	5.08E-12	7.01E-11	-20.6383189
NW_016094268.1	NW_016094268.1.1106368.1106368	1106368	1106368	-	2.20E-20	8.26E-19	-31.97293896
NW_016094268.1	NW_016094268.1.1106375.1106375	1106375	1106375	-	1.02E-19	3.53E-18	-31.40146879
NW_016094268.1	NW_016094268.1.1106379.1106379	1106379	1106379	-	1.05E-18	3.23E-17	-31.5670264
NW_016094268.1	NW_016094268.1.1106399.1106399	1106399	1106399	-	2.61E-23	1.35E-21	-31.7199067
NW_016094268.1	NW_016094268.1.1688684.1688684	1688684	1688684	-	1.22E-12	1.85E-11	-23.636057
NW_016094269.1	NW_016094269.1.298432.298432	298432	298432	-	6.22E-17	1.54E-15	-31.73144258
NW_016094269.1	NW_016094269.1.298460.298460	298460	298460	-	6.20E-49	4.27E-46	-46.92427138
NW_016094269.1	NW_016094269.1.298489.298489	298489	298489	-	1.10E-38	2.78E-36	-37.91311594
NW_016094269.1	NW_016094269.1.502584.502584	502584	502584	+	3.23E-06	1.79E-05	-21.53646156
NW_016094269.1	NW_016094269.1.731750.731750	731750	731750	+	2.53E-22	1.18E-20	-35.31138237
NW_016094269.1	NW_016094269.1.731764.731764	731764	731764	+	6.92E-16	1.53E-14	-28.03508772
NW_016094269.1	NW_016094269.1.731790.731790	731790	731790	+	2.99E-16	6.93E-15	-32.16056575
NW_016094269.1	NW_016094269.1.791756.791756	791756	791756	+	8.68E-08	6.35E-07	-21.2305791
NW_016094269.1	NW_016094269.1.791759.791759	791759	791759	+	1.25E-07	8.94E-07	-20.9106985
NW_016094269.1	NW_016094269.1.795556.795556	795556	795556	+	0.000000077	0.00000057	-22.83034714
NW_016094269.1	NW_016094269.1.811816.811816	811816	811816	-	2.71E-32	3.70E-30	-33.87799228
NW_016094269.1	NW_016094269.1.811838.811838	811838	811838	-	5.30E-30	5.81E-28	-33.65457696
NW_016094269.1	NW_016094269.1.846555.846555	846555	846555	-	6.48E-12	8.84E-11	-24.49293577
NW_016094269.1	NW_016094269.1.907042.907042	907042	907042	+	5.94E-09	5.29E-08	-20.74825508
NW_016094269.1	NW_016094269.1.943266.943266	943266	943266	+	3.59E-12	5.08E-11	-22.83473537
NW_016094269.1	NW_016094269.1.943300.943300	943300	943300	+	1.61E-11	2.07E-10	-23.04826676
NW_016094269.1	NW_016094269.1.943336.943336	943336	943336	+	1.36E-13	2.32E-12	-25.25206256
NW_016094269.1	NW_016094269.1.1017765.1017765	1017765	1017765	+	2.26E-11	2.86E-10	-24.43659711
NW_016094269.1	NW_016094269.1.1039494.1039494	1039494	1039494	+	2.42E-06	1.38E-05	-20.80682959
NW_016094269.1	NW_016094269.1.1052712.1052712	1052712	1052712	-	2.50E-07	1.71E-06	23.86396319
NW_016094269.1	NW_016094269.1.1052719.1052719	1052719	1052719	-	1.77E-06	1.03E-05	23.45390036
NW_016094269.1	NW_016094269.1.1052752.1052752	1052752	1052752	-	7.64E-08	5.66E-07	22.26644217
NW_016094269.1	NW_016094269.1.1135467.1135467	1135467	1135467	-	9.06E-54	8.40E-51	-48.3875436
NW_016094269.1	NW_016094269.1.1135495.1135495	1135495	1135495	-	6.68E-29	6.29E-27	-41.4155866
NW_016094269.1	NW_016094269.1.1135514.1135514	1135514	1135514	-	1.70E-18	5.10E-17	-24.0728426
NW_016094269.1	NW_016094269.1.1135522.1135522	1135522	1135522	-	1.24E-27	1.02E-25	-37.05084395
NW_016094269.1	NW_016094269.1.1135537.1135537	1135537	1135537	-	2.90E-40	8.04E-38	-37.86122705
NW_016094269.1	NW_016094269.1.1156452.1156452	1156452	1156452	-	3.95E-11	4.79E-10	-23.04712679
NW_016094269.1	NW_016094269.1.1156514.1156514	1156514	1156514	-	3.85E-26	2.74E-24	-32.49735141
NW_016094269.1	NW_016094269.1.1253879.1253879	1253879	1253879	+	6.59E-19	2.08E-17	-28.70993806
NW_016094269.1	NW_016094269.1.1253892.1253892	1253892	1253892	+	1.54E-12	2.30E-11	-21.50359315
NW_016094269.1	NW_016094269.1.1268201.1268201	1268201	1268201	+	1.00E-28	9.38E-27	-31.66471415
NW_016094269.1	NW_016094269.1.1268244.1268244	1268244	1268244	+	4.04E-21	1.63E-19	-27.83452503
NW_016094269.1	NW_016094269.1.1268272.1268272	1268272	1268272	+	2.78E-26	2.01E-24	-31.20804415
NW_016094269.1	NW_016094269.1.1286680.1286680	1286680	1286680	+	2.22E-22	1.04E-20	-31.06728172
NW_016094269.1	NW_016094269.1.1286703.1286703	1286703	1286703	+	2.12E-14	3.95E-13	-28.34606712
NW_016094269.1	NW_016094269.1.1286705.1286705	1286705	1286705	+	3.77E-12	5.30E-11	-25.65811966
NW_016094269.1	NW_016094269.1.1412959.1412959	1412959	1412959	-	1.57E-14	2.97E-13	-27.06736035
NW_016094269.1	NW_016094269.1.1420293.1420293	1420293	1420293	-	1.35E-08	0.000000113	-23.17182192
NW_016094269.1	NW_016094269.1.1420302.1420302	1420302	1420302	-	0.000001984	1.15E-05	-21.35271808
NW_016094269.1	NW_016094269.1.1420310.1420310	1420310	1420310	-	3.80E-09	0.000000035	-24.47433519
